platform	format	family	communication	width	height	path	sha256
instagram	Feed 4:5	Field Activity	FIELD	1080	1350	04_Templates/instagram/01_Feed_4x5/19_Field_Activity.svg	b8aac54e4710aa28abda12fa889e3e2f1e34c7ac1a574703d4cdb8eeb32d29be
instagram	Feed 4:5	Event Recap	EVENT,FIELD	1080	1350	04_Templates/instagram/01_Feed_4x5/20_Event_Recap.svg	cf1952ea147ca8cadb700cae269d457d2bf47a49ae48beadcb4e6c19837338f4
linkedin	Feed 4:5	Programme Story	FIELD,CORE	1080	1350	04_Templates/linkedin/01_Feed_4x5/01_Programme_Story.svg	bf53c27b467b12c31673b5fda00f7189604f5d8a8ac8712c00374cf0aaeec056
linkedin	Feed 4:5	Impact Number	CORE,FIELD	1080	1350	04_Templates/linkedin/01_Feed_4x5/02_Impact_Number.svg	9299aaae8b2c17844649606746f4a0fb06fcef46b0365b54f59dc85d3647831d
linkedin	Feed 4:5	Impact Dashboard	CORE,FIELD	1080	1350	04_Templates/linkedin/01_Feed_4x5/03_Impact_Dashboard.svg	03b56285a2ff82820a2eec5fa307a7c465fc4dd5806c653a404d00d78a09c7c2
linkedin	Feed 4:5	Human Story	FIELD,MOMENT	1080	1350	04_Templates/linkedin/01_Feed_4x5/04_Human_Story.svg	d5375e84b87ac949abe41933f4de53c38f67f14a58be7d69ee09eb0b627d75f0
linkedin	Feed 4:5	Awareness / Issue	CORE,OBS	1080	1350	04_Templates/linkedin/01_Feed_4x5/05_Awareness.svg	9e828547e14954d85d4ce26ecec0dfc5884874de8a25df0b02758cbbf4d54377
linkedin	Feed 4:5	Quote / Institutional Message	HSF,CORE	1080	1350	04_Templates/linkedin/01_Feed_4x5/06_Institutional_Message.svg	99495ee62b202142ad1fde142c2b5d4b1c6d63e41f30caa82a1807ee80c47b07
linkedin	Feed 4:5	Event / Programme Announcement	EVENT	1080	1350	04_Templates/linkedin/01_Feed_4x5/07_Event_Announcement.svg	41d76fa0c3e5bc56da3d0b35205cc09047196a37b6eb590208aac6db3b8df09f
linkedin	Feed 4:5	Partnership / Recognition	HSF,EVENT	1080	1350	04_Templates/linkedin/01_Feed_4x5/08_Partnership_Recognition.svg	a4e697c1ed8605be68774a0c68edee73b272ee21a73d91206c8cd74778686d16
linkedin	Feed 4:5	Volunteer / Recruitment	HSF,EVENT	1080	1350	04_Templates/linkedin/01_Feed_4x5/09_Volunteer_Recruitment.svg	59dbaafb8078ea897e3717cb6d47d0dff4fefafc8e52d4d04e1921974605b8d1
linkedin	Feed 4:5	Support / Donation CTA	CORE,HSF	1080	1350	04_Templates/linkedin/01_Feed_4x5/10_Support_CTA.svg	af2b4c6b5cf7ca153e75c8883c9a7fc221e2d2f4b654f20c1b7f73366e6c112e
linkedin	Feed 4:5	Report / Publication	CORE,HSF	1080	1350	04_Templates/linkedin/01_Feed_4x5/11_Report_Publication.svg	60ad9b3cabdeb95945a38d2cdf0676ab462614522e50e84fa0c311da7641f1a3
linkedin	Feed 4:5	Urgent Update / Crisis	CORE,EVENT	1080	1350	04_Templates/linkedin/01_Feed_4x5/12_Urgent_Update.svg	fc98b53ccfeb0e7920b1c6d757449a1796d413caf1891ececd0000e4ab7570cb
linkedin	Feed 4:5	Practical Guide / Community Advice	CORE,OBS	1080	1350	04_Templates/linkedin/01_Feed_4x5/13_Practical_Guide.svg	6a2de90a6df03446457e217de61c25e6dcb43119ef3d98393c2342c1d84061f9
linkedin	Feed 4:5	Myth vs Fact / Trusted Information	CORE,OBS	1080	1350	04_Templates/linkedin/01_Feed_4x5/14_Myth_vs_Fact.svg	a4a4e4a86c4311b50b16c0c97c3d0b0b7016345649f1eedbedff6621d5a9e9e1
linkedin	Feed 4:5	Checklist / Community Action	CORE,OBS	1080	1350	04_Templates/linkedin/01_Feed_4x5/15_Checklist_Action.svg	182ec787356b25d7ae6af101709296ad1ddadf791cc420a6ee8fe5f52489b632
linkedin	Feed 4:5	HSF Moment	MOMENT,FIELD	1080	1350	04_Templates/linkedin/01_Feed_4x5/16_HSF_Moment.svg	1c48ae380565c14ead8b67d866d556ccb9346458eccb65cfe921ba70b0da712a
linkedin	Feed 4:5	Observance / National Day	OBS	1080	1350	04_Templates/linkedin/01_Feed_4x5/17_Observance_Day.svg	1dc6fdcdda9c3a7291b11c1c3507fe915e39eae1d204f9b85f365072382a5503
linkedin	Feed 4:5	Foundation Day / Milestone	HSF	1080	1350	04_Templates/linkedin/01_Feed_4x5/18_Foundation_Milestone.svg	ff4aeb8d8a1cc66753357a94062a846de9d225a5a53daa0dc57c1e07824d13da
linkedin	Feed 4:5	Field Activity	FIELD	1080	1350	04_Templates/linkedin/01_Feed_4x5/19_Field_Activity.svg	96e95760d1d45e522a816690b08d21da55d458269e5288e2c9573cb1a86491ae
linkedin	Feed 4:5	Event Recap	EVENT,FIELD	1080	1350	04_Templates/linkedin/01_Feed_4x5/20_Event_Recap.svg	2d7ab11801a96bdd66db25c0c3540bf71ad0ce89ed2d5df35c2b51c5d3dedf6f
facebook	Feed Square	Programme Story	FIELD,CORE	1080	1080	04_Templates/facebook/02_Feed_Square/01_Programme_Story.svg	7f276ed3261c4ab6bfb7949cdfd2ebf3c3c31c8c0e66669d518bb47b378185a4
facebook	Feed Square	Impact Number	CORE,FIELD	1080	1080	04_Templates/facebook/02_Feed_Square/02_Impact_Number.svg	90d5641472aae66d89c792d0b0735144403dc235b4e01c5bc846808736e77c02
facebook	Feed Square	Quote / Institutional Message	HSF,CORE	1080	1080	04_Templates/facebook/02_Feed_Square/06_Institutional_Message.svg	989ed0654f9b343ab3dfefc027097d981b40f1290901ee9c9d5f7d14b0b90ede
facebook	Feed Square	Event / Programme Announcement	EVENT	1080	1080	04_Templates/facebook/02_Feed_Square/07_Event_Announcement.svg	a08873b8fb93306b8a7c3ea179f2d9f213125bea4df4874c65ef534f6489270e
instagram	Feed Square	Programme Story	FIELD,CORE	1080	1080	04_Templates/instagram/02_Feed_Square/01_Programme_Story.svg	e88b29a3e3e94c58c9d0d73093cbca9cf14a3048cb7a4d8cc03e0eb2fb4a7c58
instagram	Feed Square	Impact Number	CORE,FIELD	1080	1080	04_Templates/instagram/02_Feed_Square/02_Impact_Number.svg	b06960907d3765fffda868498d7e29c4ada56453d829c56887ac8d0508a6a62e
instagram	Feed Square	Quote / Institutional Message	HSF,CORE	1080	1080	04_Templates/instagram/02_Feed_Square/06_Institutional_Message.svg	cec6dd980ea200216fc86615984988e463e1a0de46a7058f1a5957f9eb4ee38f
instagram	Feed Square	Event / Programme Announcement	EVENT	1080	1080	04_Templates/instagram/02_Feed_Square/07_Event_Announcement.svg	48de99f9100a9e24f31660824ec76588b7ce02dd015b48d9b72f26ea890a334d
linkedin	Feed Square	Programme Story	FIELD,CORE	1200	1200	04_Templates/linkedin/02_Feed_Square/01_Programme_Story.svg	2ed0897733afb88e2e73aea42b003add8d9f7c12e447c75fb224a231debcfbf0
linkedin	Feed Square	Impact Number	CORE,FIELD	1200	1200	04_Templates/linkedin/02_Feed_Square/02_Impact_Number.svg	6d6f755429d99ca37de4fff61bd159f25b2dc95964313230f9650040a53d3fa6
linkedin	Feed Square	Quote / Institutional Message	HSF,CORE	1200	1200	04_Templates/linkedin/02_Feed_Square/06_Institutional_Message.svg	8fc64f965a0dd6f7b20606af20d493fc51bed12531416d3915ec14f0ac378384
